Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
38806,"
    University of Birmingham
    ","Psychology, Psychiatry and Neuroscience","
    4: University of Birmingham Cognitive Screen for early identification of
      cognitive care pathways following stroke and other brain Injuries
    ","
    Stroke is the leading cause of disability in Europe. There are around 1.2
      million stroke survivors in the UK. More than half have been left with
      disabilities that affect their daily life.
    The annual cost of stroke to the UK economy was &#163;8.9 billion. Clinical
      response to stroke has often focused on resulting physical disabilities,
      but cognitive disability can be an equally substantial source of
      difficulty for patients and their carers. Sensitive and reliable
      assessment of cognitive disability following stroke is essential for
      identifying these needs in patients, and early assessment is a major
      benefit because problems soon after stroke are a strong prognostic
      indicator of future problems, and appropriate rehabilitation is most
      effective when started early.
    Founded on longstanding expertise in neuropsychological studies, the
        University of Birmingham group has developed a comprehensive
        stroke-specific screening tool (the BCoS), which enables early and
        efficient detection of cognitive impairment after a stroke for a wider
        range of patients than is possible with existing methods. Through
      this development and its associated training programme, the BCoS is
        changing the way stroke survivors are assessed in the UK and
        internationally and it is influencing practice in other areas, such as
        traumatic brain injury.
    "
38807,"
    University of Birmingham
    ","Psychology, Psychiatry and Neuroscience","
    1: Policy and provision for de-institutionalisation of babies and young
      children
      in care across Europe.
    ","
    The worst of institutional child care came to the attention of the public
      and policy-makers in the
      1990s following the fall of Ceau&#351;escu in 1989 when pictures of children in
      Romanian orphanages
      were broadcast around Europe and America. Following this, a series of
      projects at the University of
      Birmingham (funded by the European Union Daphne programme and the World
      Health
      Organisation Regional Office for Europe) charted the extent and
      consequences of institutionalised
      care for children across Europe, and devised best practice recommendations
      for
      deinstitutionalisation. Among the key findings were that
      institutionalisation was much more
      widespread across the EU than previously thought; that it is particularly
      harmful before the age of
      three; and that alternative care with superior outcomes for children is
      also less expensive to
      implement. During the REF period the research team has significantly
      expanded their role in
      disseminating their findings, producing policy reports and briefings, and
      in providing training.
      During this time their key findings have made a major contribution to
        changes in child-care
        policy recommendations by NGOs such as UNICEF and the UN. Following
      discussion at the
      UN General Assembly in 2009 specific guidelines were produced for all
        193 member states,
      which implemented key recommendations from the research about the timing
      of
      deinstitutionalisation and how to achieve it (`Guidelines for the
      Alternative Care of Children', 2009).
      Their research has led to changes to national child-care policies in a
      number of countries, including
      the Czech Republic, Hungary and Serbia. Through the activity of UNICEF the
      impact is now
      extending beyond Europe to central and South America. These changes
        have demonstrable
        benefits for the health and psychological welfare of children, as well
        as bringing cost
        savings to the national childcare systems that implement them.
    "
38857,"
    University of Birmingham
    ",Business and Management Studies,"
    Influencing business policy towards young people's alcohol consumption
    ","
    Widespread concern about the effects of excess alcohol consumption by
      young people has been the focus of extensive national debate. The drinks
      industry has paid growing attention to these issues; corporate social
      responsibility measures by both individual companies and industry bodies
      show evidence of a more sophisticated appreciation of how marketing can be
      used to address the problem. This is evident in publications of the major
      drinks companies and the continual updating of recommendations to industry
      by the Portman Group. Findings from research into young people,
        alcohol consumption and social identity research have informed public,
        policy and industry debates and have shaped control measures, in
      particular by highlighting the social versus individual responsibility
      issues around so-called binge drinking. Professor Isabelle Szmigin
      of Birmingham Business School, a lead researcher on this project, has
        subsequently been directly involved in enhancing corporate social
        responsibility activities within the alcohol industry through industry
        and policy wide debates such as a St. George's House consultation on
      alcohol and has been appointed as one of nine members of the Portman
        Group Independent Complaints Panel, which adjudicates on complaints made
        under the industry Code of Practice on the marketing of alcoholic
        products in the UK.
    "
38863,"
    Manchester Metropolitan University
    ",Business and Management Studies,"
    Improving HR Policy And Practice in Adult Social Care
    ","
    Adult Social Care (ASC) is a growing sector which currently employs 1.6
      million care workers and benefits 1.8 million care recipients. Research
      carried out by Manchester Metropolitan University (MMU) into the
      recruitment, development and retention of ASC workers has had a direct
      impact on ASC policy, management practice and human resource (HR)
      practice.
    In the area of health, welfare and public policy, the primary research
      impact was on the Adult Social Care Recruitment and Retention Strategy
      2011. Among ASC managers and HR practitioners, the research findings
      informed and stimulated debate over the conduct of ASC work and the
      benefits of good HR practice.
    "
38868,"
    UNIVERSITY OF BIRMINGHAM
    ",Politics and International Studies,"
    Facilitating policy change in local public services: introducing
        co-production with users and citizens
    ","
    Bovaird's cross-national research has demonstrated that the co-production
      of public services is a
      feasible and effective alternative to traditional,
      professionally-dominated approaches to service
      delivery. His close engagement with government at all levels in the UK, as
      well as the EU, has
      enabled Bovaird to place co-production firmly on the policy agenda and
      assist organisations to
      implement new practices. His research shows policy makers that
      co-production has the potential
      to address the problem of managing increasing demand for public services
      in a context of
      austerity. It has inspired dialogue amongst policy-makers and
        practitioners internationally,
      shaped their awareness of co-production's contribution to public
      service quality and efficiency,
      influenced government policy, and changed practice in a
      variety of local public service
      agencies.
    "
38872,"
    UNIVERSITY OF BIRMINGHAM
    ",Social Work and Social Policy,"
    Promoting good practice guidance in closing care homes for older
        people
    ","
    This research into what is believed to be one of the largest care home
      closures programmes in Europe had three key impacts in terms of:
    
      Helping to design the initial closure process at local level
      Evaluating outcomes of the subsequent closures to ensure that
          local policy and practice were safe (for frail older people in
          potentially very vulnerable situations)

      Producing national guidance for all English Councils on managing care
        home closures and contributing to local/national planning and a
          change in public opinion regarding care home closure in the wake of
          the Southern Cross scandal.
    
    "
38873,"
    UNIVERSITY OF BIRMINGHAM
    ",Social Work and Social Policy,"
    Care Transition Experiences: developing a user and carer centred
        approach
    ","
    The project:
    
      Achieved positive changes in local health and social care policy and
        practice that directly
          responded to the concerns and experiences of older people;
      
Enhanced the knowledge and practice of practitioners and policy
          makers, at national and
        local levels, about the experiences of older people and carers of moving
        across service
        boundaries (""transitions"");
      
Developed approaches that researchers and service commissioners and
          providers can
          employ to 1) involve marginalised older people in research and
        service development and 2)
        promote the citizenship of older people through their participation as
        co-researchers;
      
Made the research findings accessible to practitioners and
        service providers through
        feedback events and workshops.
    
    "
38874,"
    UNIVERSITY OF BIRMINGHAM
    ",Education,"
    Removing Barriers to Learning for Visually Impaired Children and
        Adults
    ","
    The Visual Impairment Centre for Teaching and Research (VICTAR), which
      focuses on understanding and removing the barriers that prevent people
      with visual impairment accessing education, has been particularly
      effective in: securing legislative change for braille readers
      (e.g. the braille labelling of medication); influencing policy
        documents of NGOs involved in supporting people with visual
      impairment (by providing reliable and up to date statistics on employment,
      and the factors associated with employment); and influencing the
        professional training of teachers who support visually impaired
      pupils (by improving teacher reflection and systematic record keeping).
    "
38875,"
    UNIVERSITY OF BIRMINGHAM
    ",Education,"
    Delivering Enhanced Educational Practice in Autism
    ","
    The Autism Centre for Education and Research (ACER) champions the
      development and implementation of enhanced autism provision for children,
      young people and adults across England through influencing professional
      standards and practice. Key examples of the Centre's application of its
      research to enhance professional practice include:
    
      ACER led the development of the Early Years, Primary and Secondary
          resource content for the Inclusion Development Programmes
        (IDP)
      In collaboration with the Department for Education (DfE), the Autism
        Education Trust (AET) and local authority practitioners, ACER
        produced a set of National Autism Standards and Professional
        Competency Framework. As part of this programme, ACER also developed
        and delivered 3 tiers of related training to over 13,000 school staff
        by July 2013

      
Contributing to raised awareness of the importance of autism
        training in Schools at a national level (contribution publically
        acknowledged by Sarah Teather MP and Birmingham Local Authority).
    
    "
38877,"
    UNIVERSITY OF BIRMINGHAM
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Adoption and maintenance of active lifestyles in `hard to reach'
        communities
    ","
    It is widely acknowledged that increasing physical activity (PA) levels
      within `hard-to-reach' groups
      is challenging. Researchers in the School have addressed these challenges
      resulting in impacts in
      two recognized `hard-to-reach' groups: ethnic minority communities and
      patients who are at risk of
      disease onset and/or are suffering from diminished quality of
      life/disability due to chronic disease.
      In the former, our research has demonstrated how to make PA accessible and
      appropriate; in the
      latter, in addition, we have increased physical activity levels. In both
      examples, our research has
      changed professional training and/or standards.
    "
38878,"
    UNIVERSITY OF BIRMINGHAM
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Empowering climate training in sport, dance, and PE: Delivery,
        effectiveness and changes to professional standards
    ","
    A long-standing programme of research contributes to health and welfare
      benefits (e.g., decreased intentions to dropout of youth sport) and is
      having impact on professional standards and practitioners in the domains
      of sport, dance and physical education (PE). A family of training
      programmes (Empowering Coaching&#8482; workshops) has been developed and
      delivered nationally and internationally. The programme centres on helping
      leaders to understand the principles of quality motivation and also
      strategies that can create more adaptive learning environments leading to
      sustained engagement and well-being for athletes/students/dancers. The
      research has informed extensive continuing professional development
      programmes for coaches and teachers in sport, PE and dance organisations.
    "
38879,"
    UNIVERSITY OF BIRMINGHAM
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Influencing policy and practice for stair climbing to increase
        Lifestyle Physical Activity
    ","
    Insufficient levels of physical activity are a major public health
      challenge. In the 1990s, approaches to meeting the challenge of increasing
      physical activity (PA) shifted to a focus on the accumulation of activity
      during daily living and interest in the potential effects of the built
      environment on lifestyle physical activity. Researchers from the
      University of Birmingham tested methods to encourage the increased use of
      stairs, rather than escalators and lifts, with the aim of increasing
      calorific expenditure during daily life. This research made a major
      contribution to the evidence base for NICE (UK), as well as CDC (USA),
      leading to recommendations to use signage as a public health message to
      increase stair use. Campaigns prepared for the Department of Health
      (Cataluyna, Spain) were rolled out nationally, with advice currently being
      extended to worksite campaigns. At a regional level, councils throughout
      the Midlands have employed the stair use campaigns, as have the police and
      commercial firms, with Unilever requesting them for use nationally and
      internationally and an improved campaign rolled out by National Car Parks
      Ltd.
    "
38880,"
    UNIVERSITY OF BIRMINGHAM
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Maximising carbohydrate delivery to fuel enhanced athletic performance
    ","
    This case study relates to the optimisation of endurance performance in
      athletes through the use of newly developed carbohydrate-based sports
      foods and beverages. It describes a systematic program of scientific
      research that resulted in major advances in our understanding of how to
      optimise athletic performance through nutrition. This research
      substantially influenced the sports nutrition guidance for athletes given
      by the very highest global authoritative source (i.e., International
      Olympic Committee Consensus Statement on Sports Nutrition [IOC]).
      Furthermore, the research has stimulated development of innovative food
      and beverage products in the sports nutrition manufacturing industry
      allowing the benefits of the research to reach consumers and athletes on a
      truly global scale.
    "
39045,"
    Southampton Solent University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Using an approach to Strength and conditioning to provide public benefit
      in those with Chronic Low Back Pain (CLBP).
    ","
    The sport and exercise science team at Southampton Solent began its work
      only in 2007, with little or no previous scholarly history. The new team
      focussed on the area of strength and conditioning within the area of
      sport, exercise and health. The overarching approach to strength and
      conditioning training methodology defined in the work of Fisher et al
      (2011) is momentary muscular fatigue (MMF) whereby training is undertaken
      to maximal exertion. Using MMF the research team have demonstrated public
      benefit, and thus interim impact, through improving performance within
      client groups suffering from chronic low back pain (CLBP). Thus, we hope
      to show interim impact and reach using this methodological approach
      improving performance in those with CLBP.
    "
39093,"
    Southampton Solent University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Using an approach to Strength and conditioning to provide public benefit
      in elite athletes.
    ","
    Sport and exercise research at Southampton Solent University commenced in
      2007 and comprises a young research team focussed on strength and
      conditioning within sport. The overarching methodological approach is
      defined in the work of Fisher et al (2011) as momentary muscular fatigue
      (MMF) whereby training is undertaken to maximal exertion. Using MMF the
      research team have published findings and their conclusions for public
      benefit, thus improving performance with a range of client groups in
      sport. The impact of this methodological approach is far reaching,
      improving performance in elite performers, whether they are able or
      disabled. The beneficiary groups include; two Paralympic squads in the
      build up to, and including, the London 2012 Paralympic Games and a
      premiership football team.
    "
39123,"
    University of Reading
    ","Geography, Environmental Studies and Archaeology","
    Enhancing support for young carers and families affected by HIV
    ","
    University of Reading research has raised awareness of a group that is
      often overlooked in policy
      and practice: young carers and families affected by HIV. It has revealed
      the factors that influence
      involvement and outcomes in young care-giving and identified the support
      needs for young people
      and those that they look after.
    The research has led to newly funded support services in East Africa and
      the UK, international and
      national practice guidelines, and capacity-building among professionals.
      The impact has
      predominantly been the enhancement of wellbeing, health and social care,
      education, children's
      and families' rights and welfare provision.
    "
39233,"
    University of Reading
    ",Law,"
    Reshaping the policy debate around public perceptions of the
        regulation of health and safety
    ","
    The findings of University of Reading research around the contemporary
      proliferation of `regulatory myths' and media misrepresentation of health
      and safety law have been used by a number of stakeholder organisations and
      charitable bodies in evidence given to official Government reviews, and
      drawn upon by those reviews as part of the development of policy
      recommendations for Government. By reshaping the policy debate around
      public perceptions of safety regulation, the innovative analysis of this
      phenomenon developed in the research output has allowed key actors to
      understand and draw attention to a major policy problem in a more coherent
      and principled manner.
    "
39234,"
    University of Reading
    ",Law,"
    NHS treatment rationing and priority-setting: Improving ethical
          decision-making amongst UK healthcare providers
    ","
    Research carried out by Professor Christopher Newdick in the School of
      Law, University of Reading, explored the ways in which individualistic
      `rights-based' models of healthcare cause problems within areas of finite
      public resources, such as NHS treatment rationing and priority-setting. By
      developing a new ethical model to help settle individual competing rights
      claims, the research produced impact by changing the policies and
      practices of a series of NHS Primary Care Trusts (PCTs) who implemented
      new Ethical Frameworks informed by Newdick's findings. By reframing the
      treatment rationing debate, and working directly with PCTs, his research
      produced a new, more robust and defensible way of balancing individual and
      collective interests within NHS decision-making.
    "
39235,"
    Loughborough University
    ",Business and Management Studies,"
    LSCAT: Changing Attitudes and Systems in Safety Management
    ","
    Developed from Loughborough University research into the employee impact
      of safety management, the Loughborough Safety Climate Assessment Toolkit
      (LSCAT) has helped change attitudes and raise awareness across a variety
      of industry sectors. Freely available in the public domain, it has
      facilitated the assessment of safety climate as part of a process of
      culture change and wider management system enhancement. Beneficiaries
      during the impact period have included the Royal College of Nursing and
      the NHS, which have used the tool as a ""fundamental"" means of benchmarking
      best practice, and logistics giant DHL Supply Chain, which has used it to
      identify specific areas for improvement in its safety management systems.
    "
39332,"
    Manchester Metropolitan University
    ",General Engineering,"
    Biomechanics Support for Great Britain Para-Swimming and the
        International Paralympic Committee
    ","
    Research into the biomechanics of elite swimmers with a disability
      undertaken by Manchester Metropolitan University (MMU) has contributed
      directly to the development of Para-swimming both nationally and
      internationally. Firstly, it has made a significant and sustained
      contribution to the development of British Para-swimmers and their
      coaches, leading to outstanding performances by British swimmers at major
      International competitions including, most notably, the Beijing 2008
      Paralympics, the IPC World Swimming Championships, 2010 and the London
      2012 Paralympics. Secondly, In 2009 the IPC mandated the development of
      new, evidence-based classification systems for Paralympic sports and, in
      2010, announced its intention to use the research findings from MMU to
      help devise a new classification system for Para-swimming.
    "
39333,"
    Manchester Metropolitan University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    MMU Research Impact On Combating Musculo-skeletal Disuse In Older
        People.
    ","
    Manchester Metropolitan University's (MMU's) novel research on the
      musculoskeletal adaptations to resistance training has directly informed
      what has been called the ""gold-standard"" for exercise, physical activity
      and rehabilitation guidelines for older adults published in the USA, as
      well as the UK Department of Health's guidelines on physical activity and
      exercise for older adults. MMU's musculo-skeletal research has led to
      commercial impacts as it has directly informed the design, and
      modifications to the design of `Technogym' (an international exercise
      equipment manufacturer) and vibration training devices. Clinical impacts
      have been realised through the contribution of musculoskeletal research
      into rehabilitation programmes for children with muscle weakness across
      Europe. And finally, MMU's research has also raised awareness of, and
      informed local Government decision-making and policy on, ageing and
      musculoskeletal deterioration.
    "
39336,"
    Manchester Metropolitan University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Research-informed development of appropriate services for people with
        disabilities in Majority world countries (underserved countries)
    ","
    This case study describes the impact of research by Julie Marshall
      and Juliet Goldbart on international development; specifically on the
      lives of people with significant
      disabilities in Majority world countries. Research on delivering
      appropriate services to people with
      speech, language and communication disabilities has led to a
      Nuffield-funded project to mentor
      graduates from the first speech and language therapy qualifying programme
      in East Africa,
      providing much needed professional input in Uganda, Kenya, Rwanda and
      Tanzania.
    Related research on the need for appropriate services, and the form these
      services might take, has
      resulted in a model of service delivery in slum areas (bustees) of Kolkata
      (formerly Calcutta), which
      has now been rolled out to 69 sites across the Greater Kolkata area.
      In addition to direct impact on rehabilitation services, impact is evident
      in the development of
      culturally appropriate training materials and training for health and
      education workers in East
      Africa, India and the U.K.
    "
39766,"
    University of Brighton
    ",Social Work and Social Policy,"
    Improving Participatory Practice and Well-being with Older People ICS
        [4]
    ","
    Research into participative practice and well-being with older people has
      contributed directly to the development and application of an ethic of
      care in policy and service delivery, as well as to practices in older
      people's participation, locally, nationally and internationally. The
      research has directly impacted on practitioners and practice developments
      in services for older people, with learning resources (co-designed with
      practitioners and older people) being used in professional education and
      training across the UK and in New Zealand. An innovative participatory
      methodology has both enhanced older people's participation locally and
      been adopted more widely by university community research collaborators
      working to enhance older people's citizenship and well-being (eg in
      Netherlands). Research has directly informed policy concerning older
      people's needs assessments by recognising the centrality of relationships
      to well-being in older age. The well-being research involving
      collaboration with service users and providers has been described as
      `exemplary' by the leading national charity Age UK.
    "
39768,"
    University of Brighton
    ",Social Work and Social Policy,"
    Reshaping resilience practices: a co-production approach
    ","
    Collaborative research with practitioners, parents and young people has
      led to the development of Resilient Therapy (RT) a new approach to
      building resilience in disadvantaged families. The new RT model has been
      adopted as part of service provision by 10 local authorities in England,
      and by local and national charities including the mental health charity
      Mind in Wales. There is evidence that the model is changing high level
      national policy debate in the UK. The RT approach has had an international
      impact and has changed the design, delivery and evaluation of services for
      young people and families in Crete and Sweden. RT has been commended by
      the Chief Medical Officer (UK) for its contribution in supporting
      children. Over 120 community partners and service users were closely
      involved in the co-production of the research and for many of them this
      changed their roles in the community as they were central to the
      production and use of tailored training materials, self-help guides and
      courses.
    "
39771,"
    University of Brighton
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Football4Peace
    ","
    Our research led to the creation of Football4Peace (F4P), which is a
      vehicle for conflict resolution and peace building in divided societies.
      By challenging cultural prejudice F4P has transformed passive citizens
      into active ambassadors for peace. More than 8,000 children, 595 coaches
      and many community leaders have participated in F4P projects during the
      census period, generating political discourse in the community and in
      governments up to ministerial level. Innovative community relations
      research in the context of Northern Ireland's peace process led to the
      development of the F4P initiative. Subsequently it changed the policies of
      sporting organisations in Israel, Jordan, Palestine, Ireland, South Africa
      and South Korea.
    "
39772,"
    University of Brighton
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Improving athletes' preparation for optimal sporting performance ICS
        [2]
    ","
    The impact of this research has been to improve the performance of elite
      athletes and safeguard the well-being of Paralympians. It has affected the
      management of athletes' dynamic physiological responses and advanced the
      regulatory frameworks of sporting bodies. This has changed the strategies
      of the USA Olympic Committee, the International Paralympic Committee and
      the British Paralympic Association. The indirect impact of this primary
      research has been to change the routine training practices of recreational
      athletes and influence the advice on exercise given to military personnel
      and people with disabilities.
    "
39773,"
    University of Brighton
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Redesigning tourism policy and practices in Africa
    ","
    Researchers at the University of Brighton have changed national tourism
      policy and workforce training practices in African countries. Working with
      international organisations, including the World Bank and UN agencies, the
      underpinning research has identified approaches for developing capacity
      and skills in the tourism workforce. As a consequence, the Nigerian Board
      of Technical Education redesigned the national curriculum for leisure,
      tourism and hospitality; the Namibia Tourism Board introduced customer
      service skills training; government guidelines for ecotourism development
      were produced in West Africa. In the Gambia the research led to the
      Ministry of Tourism and Culture developing service standards and
      establishing the &#8364;2.7m Gambia Tourism and Hospitability Institute.
    "
39813,"
    University of the West of England (UWE), Bristol
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Improving services for children with speech, language and
        communication impairment
    ","
    Professor Sue Roulstone's research has contributed significantly and
      widely to a growing political appreciation of the crucial role that
      language plays in children's development, socially, emotionally and
      educationally. The research has contributed evidence to underpin policy
      initiatives to monitor language as an indicator of successful child
      development, to support the importance of children's early language
      development and to ensure services for those with impairments are
      evidence-based. These initiatives have in turn impacted upon the
      development of services and the use of parent and child perspectives in
      service design and development.
    "
39821,"
    University of Exeter
    ",Education,"
    Improving the Teaching of Pupils with Special Educational Needs
    ","
    Successive research studies carried out by Professor Brahm Norwich in the
      Graduate School of Education have addressed the development of policy
      for children with Special Educational Needs (SEN), shaped professional
        understanding of how best to teach pupils with SEN, and generated
        a resource to support teacher-educators and teacher trainees in
      meeting the needs of pupils with SEN. The research has driven a
      fundamental re-appraisal of how children with SEN should be taught,
      showing that many children with SEN do not require specialist teaching,
      but rather an intensification of the same general teaching methods used
      for non-SEN pupils. The research has resulted in the creation of a
      practical training tool for SEN teaching and a teacher-training tool
      designed on this basis has been disseminated nationally to teacher
      training providers. Testimonials indicate that the tool has contributed
      directly to improving the quality of teaching for pupils with SEN.
    "
39824,"
    University of the West of England (UWE), Bristol
    ",Social Work and Social Policy,"
    Promoting healthy body image through evidence-based body image
      interventions in real-world settings.
    ","
    Negative body image affects 60-70% of children and adults in developed
      countries and is recognised as a significant public health issue. UWE
      research has influenced national parliamentary policy debate and advocacy
      campaigns, including the report of the All-Party Parliamentary Group on
      Body Image. It has also directly shaped the global social mission agenda
      of Dove, Unilever's largest personal care brand. It has convinced Dove's
      key business stakeholders of the viability of evidence-based approaches to
      improving body image in educational settings, and subsequently underpinned
      Dove's body image education curriculum, which is delivered in more than 20
      countries worldwide.
    "
39827,"
    University of the West of England, Bristol (UWE)
    ",Social Work and Social Policy,"
    Improving public health outcomes for children and young people by
        involving them in health promotion initiatives in school settings.
    ","
    Research on health promotion in schools undertaken by UWE has
      demonstrated that vulnerable young people at the centre of the
      Government's Teenage Pregnancy Strategy can be reached via their
      involvement in interactive sexual health drama and further work has had
      direct influence on national policy in England. Following recommendations
      from research at UWE, Bristol, 12,000 Bristol school pupils have benefited
      from the introduction of sexual health clinics. UWE research demonstrated
      how school meal take-up and healthier eating behaviour has been increased
      by the work of the Food for Life Partnership. This research contributed
      directly into the development of the English National School Food Plan
      particularly into the business case for investing in increased school meal
      take-up.
    "
39828,"
    University of the West of England (UWE), Bristol
    ",Social Work and Social Policy,"
    Improved effectiveness in delivering and evaluating arts for health
      programmes
    ","
    Norma Daykin's research has improved delivery and evaluation of arts
    and health programmes for clinical and non clinical populations. It has
    supported the development of arts on referral schemes and has led to more
    effective use of arts to benefit patients and staff in mental healthcare
    settings. It has enabled arts consultants Willis Newson to deliver much
    needed evaluation services and has shaped CPD provision, enabling artists
    and commissioners to develop and evaluate arts programmes. Her participation
    in national and international policy debates has contributed to the
    formulation of policy and strategy of arts organisations, healthcare
    providers and third sector organisations.
    "
40169,"
    University of Bristol
    ","Public Health, Health Services and Primary Care","
    Fewer suicides worldwide following changes in policy and practice
      influenced by University of Bristol research
    ","
    University of Bristol research has played an important role in shaping
      local, national and global suicide prevention initiatives. The consequent
      reductions in suicide rates have been substantial and many hundreds of
      lives have been saved thanks to this research.
    The scope and scale of the impact has ranged from shaping World Health
      Organisation (WHO) strategy on preventing suicides by pesticide poisoning,
      informing national legislation on limiting access to the means of suicide
      in several countries (e.g. analgesics in the UK &#8212; 1000 fewer suicides
      between 2008 and 2013), informing guidelines on the responsible reporting
      of suicide for the UK media, and developing highly successful prevention
      measures at the Clifton Suspension Bridge, a suicide site in Bristol (30
      fewer suicides between 2008 and 2013).
    "
40172,"
    University of Bristol
    ","Public Health, Health Services and Primary Care","
    Reducing domestic violence through `IRIS', a training and support
      programme that improves the response of general practice
    ","
    Domestic violence (DV) has a devastating public health, clinical and
      economic impact on women. It is also a major breach of human rights. IRIS
      (Identification and Referral to Improve Safety), a University of Bristol
      led randomised controlled trial of a training and support programme to
      improve the general practice response to DV, demonstrated a substantial
      increase in identification of victims and their referral to specialist DV
      services resulting in a subsequent reduction in recurrent abuse and
      improved quality of life. The programme has now been commissioned by
      clinical commissioning groups (CCGs) and local authorities in 12 English
      localities and the training delivered to 122 general practices. The
      current annual rate of referral of victims of domestic violence from IRIS
      practices in England to specialist domestic violence agencies is 683 per
      year, with trial data indicating that at least 600 of these would not have
      taken place without the IRIS programme. The programme started
      implementation in Scotland in June 2013.
    "
40193,"
    University of Bristol
    ","Psychology, Psychiatry and Neuroscience","
    Innovative approach to assessing drug harms has major impact on
      government policy and public awareness
    ","
    A new, more structured way of assessing the various harms done to
      individuals, families, communities and wider society by a range of legal
      and illegal drugs was first articulated by Professor David Nutt and
      colleagues at the University of Bristol. The ""rational scale"" they
      developed in the light of their research has stimulated extensive policy
      debate and informed drug classification in the UK and overseas. The
      research underpinning the scale has been disseminated through numerous
      public lectures and discussions and has stimulated worldwide media
      coverage. As a consequence, public awareness of drug harms has increased
      and public engagement in important debates about drugs has intensified.
    "
40194,"
    University of Bristol
    ","Psychology, Psychiatry and Neuroscience","
    The 2011 Royal Institution Christmas Lectures: changing the public's
      understanding of the mind and brain
    ","
    Public understanding of the brain and key concepts in cognitive
      development was improved
      through the Royal Institution (RI) Christmas Lecture series, ""Meet Your
        Brain"", which was delivered
      in 2011 by Bruce Hood, Professor of Developmental Psychology in Society at
      the University of
      Bristol and was based on research conducted at the Bristol Cognitive
      Development Centre. The
      series was broadcast twice in the UK on the BBC, reaching 4 million
      viewers in total. The success
      of the series subsequently led to Hood giving invited lectures in Asia in
      2012 and 2013, which were
      broadcast on national television, reaching over 7 million viewers over the
      two years.
    In 2012, young people between the ages of 9 and 14 participated in a live
      version of the lecture
      series and were tested on their knowledge before and after the series;
      average test score went
      from 40% to 75%, showing an increased understanding and further testing
      showed a 73%
      retention rate of this knowledge 2 months after the lecture.
    The content of Hood's lectures forms the basis of The Brain Bank -
      a website about basic cognitive
      neuroscience, which provides tools and resources for educators. The
      website is distributed through
      the RI, Society of Biology, and UK Association for Science Centres and has
      received over 22,000
      visits since its launch in January 2013.
    "
40281,"
    University of Gloucestershire
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Safeguarding and Respect in Children's Football.
    ","
    Dr Andy Pitchford's research has been a significant influence on
      the development of policies and services at The Football Association in
      the period from 2008 to 2013. During this time, the Association's approach
      to children and the youth game has changed dramatically, culminating in a
      range of interventions, new training resources and a major system overhaul
      in 2012. These change programmes have been directly informed by academic
      research by Pitchford and colleagues, by commissioned evaluations
      and related media coverage.
    "
40300,"
    University of Bristol
    ",Social Work and Social Policy,"
    Bristol research transforming national understanding of, and response to,
      violence in young people's intimate relationships
    ","
    Research conducted in the School for Policy Studies at the University of
      Bristol from 2006 inspired the Government to commission a series of
      carefully targeted awareness campaigns on sexual coercion and violence in
      teenage relationships. These campaigns ran between 2010 and 2013 and
      reached millions of young people. The research has also underpinned
      developments in government policy as well as a range of practical
      interventions by agencies in England and Scotland. In addition, the
      extensive media coverage of the research has substantially increased
      public awareness of teenage partner violence and related issues.
    "
40301,"
    University of Bristol
    ",Social Work and Social Policy,"
    Improving adoption services: removing the disincentive of the
      inter-agency fee
    ","
    Research on adoption and the inter-agency fee influenced a major
      governmental review of adoption policy and practice. Selwyn's work led to
      positions as: academic advisor on the Government's expert working group on
      adoption; advisor to the Treasury; member of No 10's policy group; and she
      gave written and oral evidence to the House of Lords and House of Commons
      Select Committees as part of the adoption reform. Her research on adoption
      and the subsequent government action led to a significant strengthening of
      the capacity of the voluntary adoption agencies and changes in social work
      practice resulting in adoption numbers rising from 3,090 (2011-12) to
      3,980 (2012-13). Local authorities were advised to remove the structural
      disincentive caused by the fee no later than September 2013. Findings also
      provided key evidence for the Charity Commission in its case against the
      Catholic Church's appeal to be exempt from equality legislation.
    "
